chr	internal_start	internal_end	Symbol	score	strand	Type
chr4	53030786	53157395	Abca1	0	-	Long_Genes_without_Long_Intron
chr16	14181923	14293601	Abcc1	0	+	Long_Genes_without_Long_Intron
chr6	142533587	142645444	Abcc9	0	-	Long_Genes_without_Long_Intron
chr9	70588778	70687511	Adam10	0	+	Long_Genes_without_Long_Intron
chr13	59593555	59702625	Agtpbp1	0	-	Long_Genes_without_Long_Intron
chr10	20830945	20956328	Ahi1	0	+	Long_Genes_without_Long_Intron
chr5	3980773	4131310	Akap9	0	+	Long_Genes_without_Long_Intron
chr5	3739999	3850425	Ankib1	0	-	Long_Genes_without_Long_Intron
chr11	83195808	83295861	Ap2b1	0	+	Long_Genes_without_Long_Intron
chr3	88860428	88986682	Ash1l	0	+	Long_Genes_without_Long_Intron
chr12	4969903	5097394	Atad2b	0	+	Long_Genes_without_Long_Intron
chr3	35810782	35910425	Atp11b	0	+	Long_Genes_without_Long_Intron
chr18	80777355	80974698	Atp9b	0	-	Long_Genes_without_Long_Intron
chr2	130750914	130872253	Atrn	0	+	Long_Genes_without_Long_Intron
chr17	74837962	75009378	Birc6	0	+	Long_Genes_without_Long_Intron
chr3	36919754	37107182	Bltp1	0	+	Long_Genes_without_Long_Intron
chr10	75481945	75597650	Cabin1	0	-	Long_Genes_without_Long_Intron
chr13	74840486	74954429	Cast	0	-	Long_Genes_without_Long_Intron
chr5	108283279	108381494	Ccdc18	0	+	Long_Genes_without_Long_Intron
chr11	29326847	29454805	Ccdc88a	0	+	Long_Genes_without_Long_Intron
chr9	78525327	78623535	Cd109	0	+	Long_Genes_without_Long_Intron
chr1	155720709	155846501	Cep350	0	-	Long_Genes_without_Long_Intron
chr10	94527015	94626715	Cep83	0	+	Long_Genes_without_Long_Intron
chr10	53149538	53253543	Cep85l	0	-	Long_Genes_without_Long_Intron
chr7	73076385	73188994	Chd2	0	-	Long_Genes_without_Long_Intron
chr5	115986929	116144387	Cit	0	+	Long_Genes_without_Long_Intron
chr9	113644167	113747204	Clasp2	0	+	Long_Genes_without_Long_Intron
chr7	101315411	101437017	Clpb	0	+	Long_Genes_without_Long_Intron
chr3	113826688	114014367	Col11a1	0	+	Long_Genes_without_Long_Intron
chr1	159062395	159175210	Cop1	0	+	Long_Genes_without_Long_Intron
chr15	8201089	8300642	Cplane1	0	+	Long_Genes_without_Long_Intron
chr11	46084676	46200685	Cyfip2	0	-	Long_Genes_without_Long_Intron
chr9	64721121	64826949	Dennd4a	0	+	Long_Genes_without_Long_Intron
chr4	86669291	86768840	Dennd4c	0	+	Long_Genes_without_Long_Intron
chr6	148889568	149000678	Dennd5b	0	-	Long_Genes_without_Long_Intron
chr5	33023577	33151575	Depdc5	0	+	Long_Genes_without_Long_Intron
chr18	49968563	50098540	Dmxl1	0	+	Long_Genes_without_Long_Intron
chr9	54272441	54406410	Dmxl2	0	-	Long_Genes_without_Long_Intron
chr2	130548119	130679554	Dnaaf9	0	-	Long_Genes_without_Long_Intron
chr12	3859529	3964443	Dnmt3a	0	+	Long_Genes_without_Long_Intron
chr15	12827400	12935376	Drosha	0	+	Long_Genes_without_Long_Intron
chr9	6929303	7174457	Dync2h1	0	-	Long_Genes_without_Long_Intron
chr12	98755403	98865243	Eml5	0	-	Long_Genes_without_Long_Intron
chr5	110812238	110915893	Ep400	0	-	Long_Genes_without_Long_Intron
chr1	119475860	119574164	Epb41l5	0	-	Long_Genes_without_Long_Intron
chr4	109140108	109242662	Eps15	0	+	Long_Genes_without_Long_Intron
chr2	93525975	93650413	Ext2	0	-	Long_Genes_without_Long_Intron
chr1	14239177	14377924	Eya1	0	-	Long_Genes_without_Long_Intron
chr10	70279255	70394561	Fam13c	0	+	Long_Genes_without_Long_Intron
chr7	129765438	129865421	Fgfr2	0	-	Long_Genes_without_Long_Intron
chr5	147498413	147660321	Flt1	0	-	Long_Genes_without_Long_Intron
chr2	32876385	33018948	Garnl3	0	-	Long_Genes_without_Long_Intron
chr1	87257224	87378518	Gigyf2	0	+	Long_Genes_without_Long_Intron
chr11	107441285	107577769	Helz	0	+	Long_Genes_without_Long_Intron
chrX	95501464	95618091	Heph	0	+	Long_Genes_without_Long_Intron
chr9	66260307	66416057	Herc1	0	+	Long_Genes_without_Long_Intron
chr5	34921587	35069878	Htt	0	+	Long_Genes_without_Long_Intron
chrX	150588822	150718413	Huwe1	0	+	Long_Genes_without_Long_Intron
chr3	68799831	68909376	Ift80	0	-	Long_Genes_without_Long_Intron
chr2	119203522	119305668	Ino80	0	-	Long_Genes_without_Long_Intron
chr13	106930946	107059158	Ipo11	0	-	Long_Genes_without_Long_Intron
chr8	86444206	86565050	Itfg1	0	-	Long_Genes_without_Long_Intron
chr12	4645507	4763962	Itsn2	0	+	Long_Genes_without_Long_Intron
chr4	74172672	74324097	Kdm4c	0	+	Long_Genes_without_Long_Intron
chr4	149260775	149389649	Kif1b	0	-	Long_Genes_without_Long_Intron
chrX	99671842	99770820	Kif4	0	+	Long_Genes_without_Long_Intron
chr1	163609651	163744678	Kifap3	0	+	Long_Genes_without_Long_Intron
chr19	3634827	3734056	Lrp5	0	-	Long_Genes_without_Long_Intron
chr6	134423438	134541376	Lrp6	0	-	Long_Genes_without_Long_Intron
chr9	60494511	60592941	Lrrc49	0	-	Long_Genes_without_Long_Intron
chr9	110951242	111053290	Lrrfip2	0	+	Long_Genes_without_Long_Intron
chr3	100469523	100590319	Man1a2	0	-	Long_Genes_without_Long_Intron
chr17	64910230	65062105	Man2a1	0	+	Long_Genes_without_Long_Intron
chr15	34309330	34436384	Matn2	0	+	Long_Genes_without_Long_Intron
chr4	32659618	32775207	Mdn1	0	+	Long_Genes_without_Long_Intron
chr9	86463423	86575506	Me1	0	-	Long_Genes_without_Long_Intron
chr14	61024521	61141678	Mipep	0	+	Long_Genes_without_Long_Intron
chr6	31378169	31493746	Mkln1	0	+	Long_Genes_without_Long_Intron
chr2	14236702	14336868	Mrc1	0	+	Long_Genes_without_Long_Intron
chr13	92348379	92489003	Msh3	0	-	Long_Genes_without_Long_Intron
chr17	84016119	84122334	Mta3	0	+	Long_Genes_without_Long_Intron
chr4	148535567	148642140	Mtor	0	+	Long_Genes_without_Long_Intron
chr14	103350846	103581736	Mycbp2	0	-	Long_Genes_without_Long_Intron
chr11	68585641	68707450	Myh10	0	+	Long_Genes_without_Long_Intron
chr9	59660678	59836149	Myo9a	0	+	Long_Genes_without_Long_Intron
chr7	96603211	96713965	Nars2	0	+	Long_Genes_without_Long_Intron
chr11	62207251	62345658	Ncor1	0	-	Long_Genes_without_Long_Intron
chr8	61448798	61583942	Nek1	0	+	Long_Genes_without_Long_Intron
chr3	135290415	135394807	Nfkb1	0	-	Long_Genes_without_Long_Intron
chr12	70058208	70157991	Nin	0	-	Long_Genes_without_Long_Intron
chr1	62745360	62857854	Nrp2	0	+	Long_Genes_without_Long_Intron
chr19	6480466	6583247	Nrxn2	0	+	Long_Genes_without_Long_Intron
chr13	55360094	55466138	Nsd1	0	+	Long_Genes_without_Long_Intron
chr11	103712607	103842382	Nsf	0	-	Long_Genes_without_Long_Intron
chr6	90990049	91091311	Nup210	0	-	Long_Genes_without_Long_Intron
chr4	98286527	98607840	Patj	0	+	Long_Genes_without_Long_Intron
chr14	30743594	30841998	Pbrm1	0	+	Long_Genes_without_Long_Intron
chrX	150306167	150416853	Phf8	0	+	Long_Genes_without_Long_Intron
chr9	82748211	82855069	Phip	0	-	Long_Genes_without_Long_Intron
chr16	17098215	17221257	Pi4ka	0	-	Long_Genes_without_Long_Intron
chr9	62785649	62885661	Pias1	0	-	Long_Genes_without_Long_Intron
chr14	99339842	99491929	Pibf1	0	+	Long_Genes_without_Long_Intron
chr9	98918706	99019640	Pik3cb	0	-	Long_Genes_without_Long_Intron
chrX	163054926	163156007	Pir	0	+	Long_Genes_without_Long_Intron
chr10	84460655	84563042	Polr3b	0	+	Long_Genes_without_Long_Intron
chr16	15458252	15660099	Prkdc	0	+	Long_Genes_without_Long_Intron
chr11	30724225	30830361	Psme4	0	+	Long_Genes_without_Long_Intron
chr2	37335796	37456449	Rabgap1	0	+	Long_Genes_without_Long_Intron
